t-SNE1,t-SNE2
56.237247,59.475227
25.169233,-72.07261
-37.49671,-0.23586316
8.04641,41.867794
116.05045,-0.41931984
130.01347,-13.347724
0.7547897,20.029661
-33.145504,45.1893
2.041723,18.873058
35.5088,12.550325
7.737474,-0.25119254
-34.97073,-90.32524
-92.56835,55.459187
47.762596,3.2094133
21.372118,-12.966919
-20.509598,-77.90172
7.5566196,2.5668695
-105.36268,47.010204
101.34487,-61.64109
-69.8184,32.892452
85.722206,-74.415146
-45.899117,7.861929
-90.05568,18.594652
-113.04743,16.30685
72.284996,88.0046
83.466736,8.778349
42.545513,46.17595
94.83462,65.34859
9.528697,-40.42625
-71.962906,19.298246
41.01933,101.52007
87.19974,-57.776417
-85.25765,37.60628
-73.332565,88.33009
90.9228,97.63802
29.049822,-112.39268
2.53593,-23.110401
130.01347,-13.347724
63.40012,15.388533
69.3046,104.3452
60.45614,76.40417
3.2891395,83.717766
-67.71659,19.50009
-72.58659,20.523344
132.37769,9.781429
58.29698,-55.751514
-86.915726,-67.65521
46.529053,60.61598
-49.077747,-102.3291
-74.92664,58.487686
7.85335,14.603036
-80.89838,-7.7226176
-6.661522,72.64552
-45.14977,25.124899
-104.711464,43.574013
-33.46918,39.17337
-12.903309,-29.845608
-51.30835,70.33208
-71.80119,-62.719063
81.425186,28.614033
-7.019573,28.5635
82.76683,66.5603
-47.381557,32.11781
71.39356,-35.380886
-46.971653,34.734592
58.84911,-68.62137
24.771463,-26.353733
121.14766,1.6742401
72.284996,88.0046
35.693165,32.93797
-26.771439,-54.82573
29.825003,15.60001
-21.478333,-31.003527
-10.366651,47.692158
-63.881653,-79.29464
79.96421,70.28329
-17.004944,-11.269158
29.125828,-65.15062
94.90747,-25.49516
-4.7356977,-31.451912
111.22764,-7.659925
31.441227,-117.21107
69.270706,104.325424
84.520584,-66.84222
128.3717,-17.714418
58.57153,-26.658844
15.305917,-48.31414
17.997555,-70.11923
57.233536,92.21556
63.62264,-101.54722
88.279625,-27.123009
10.926925,53.53122
-27.520596,-77.79672
10.188073,-116.1061
-108.246796,45.309586
17.4329,32.29255
63.042263,-61.858154
10.328884,90.549576
121.11033,1.6728766
106.010956,-5.2094
79.56758,-67.582855
50.04846,-69.51709
86.274124,80.66244
60.173664,17.079178
