Năm sản xuất,Tình trạng,Kiểu dáng,Số Km đã đi,Xuất xứ,Hãng xe,Dẫn động,Số chỗ ngồi,Địa điểm,Động cơ,Hộp số,Giá
2024,0,920.8003502626971,-0.5378374098015035,1,3382.008071748879,615.8103896103896,5,1261.511450854172,1043.7069892473119,1,2710.0
2023,1,1484.7441094502153,-0.3495943163709773,0,546.809869375907,615.8103896103896,7,1261.511450854172,587.2974836905871,0,525.0
2022,1,920.8003502626971,-0.06722967622518794,1,2020.74332909784,1047.849582172702,5,1261.511450854172,1180.1899814999288,1,1879.0
2023,0,920.8003502626971,-0.5378374098015035,0,1899.9135802469136,1047.849582172702,5,1261.511450854172,1180.1899814999288,1,1395.0
2004,1,1484.7441094502153,-0.5244049204917111,0,896.8721076233184,1047.849582172702,8,1224.5943849852645,517.4133333333333,0,165.0
2021,1,1484.7441094502153,-0.026891870490075177,1,807.2661742983752,2591.475859405176,7,1261.511450854172,1381.2204122990008,1,1845.0
2023,1,1484.7441094502153,-0.5109589852466734,0,538.8395702111893,615.8103896103896,7,1261.511450854172,587.2974836905871,1,675.0
2024,0,1484.7441094502153,-0.5378374098015035,0,896.8721076233184,615.8103896103896,7,1224.5943849852645,587.2974836905871,1,630.0
2024,0,1484.7441094502153,-0.5378374098015035,1,896.8721076233184,2591.475859405176,7,1261.511450854172,6056.458745872045,1,4236.0
2024,0,1484.7441094502153,-0.5378374098015035,1,546.809869375907,615.8103896103896,7,867.0088108038677,587.2974836905871,1,658.0
2019,1,339.6466512702078,0.16135122294045107,0,607.2130434782608,615.8103896103896,5,1261.511450854172,587.2974836905871,1,480.0
2024,0,1236.1323138297873,-0.5378374098015035,0,538.8395702111893,615.8103896103896,7,1261.511450854172,859.8680412371134,1,1389.0
2024,0,1484.7441094502153,-0.5378374098015035,1,3347.372095955615,1129.0432558139535,5,1224.5943849852645,1180.1899814999288,1,4088.0
2020,1,339.6466512702078,0.1075674819603007,0,655.2298474945534,615.8103896103896,5,651.299112801014,426.6447688564477,1,303.0
2024,0,1484.7441094502153,-0.5378374098015035,0,655.2298474945534,615.8103896103896,5,1224.5943849852645,739.161776469473,1,765.0
2008,1,920.8003502626971,0.9412154671526313,0,896.8721076233184,615.8103896103896,5,449.50129762005923,517.4133333333333,1,270.0
2015,1,1484.7441094502153,0.524391474556466,0,633.42521631644,1129.0432558139535,7,1261.511450854172,1235.8796526054591,1,590.0
2022,1,1484.7441094502153,0.08605398556824057,0,2020.74332909784,2591.475859405176,5,1261.511450854172,1180.1899814999288,1,1890.0
2006,1,1484.7441094502153,-0.5363583569245495,0,896.8721076233184,1129.0432558139535,8,1224.5943849852645,486.65045555723526,0,499.0
2014,1,1484.7441094502153,0.8067561147022554,1,896.8721076233184,1129.0432558139535,7,1261.511450854172,967.0030816640987,1,1060.0
2014,1,1484.7441094502153,0.4033780573511277,1,607.2130434782608,2591.475859405176,7,1261.511450854172,846.3789438030323,1,465.0
2010,1,1484.7441094502153,1.344593524503759,1,3553.3604938271606,2591.475859405176,5,572.042857145518,942.3745351798207,1,940.0
2023,0,769.1666666666666,-0.5378374098015035,1,466.2230215866443,1129.0432558139535,5,1224.5943849852645,787.3618698581564,1,795.0
2018,1,920.8003502626971,0.3765265246667876,0,607.2130434782608,615.8103896103896,5,1261.511450854172,587.2974836905871,1,463.0
2021,1,1484.7441094502153,0.06722967622518794,0,633.42521631644,2591.475859405176,7,1261.511450854172,859.8680412371134,1,1118.0
2013,1,920.8003502626971,0.55800631266906,0,896.8721076233184,615.8103896103896,5,1261.511450854172,587.2974836905871,1,318.0
2019,1,920.8003502626971,0.5109858771171635,0,896.8721076233184,615.8103896103896,5,1261.511450854172,587.2974836905871,1,417.0
