t-SNE1,t-SNE2
-21.095324,-40.103527
-19.284124,54.066746
44.17161,-17.902414
49.49195,32.557808
-6.7415633,1.8316809
-45.08925,13.69571
-5.314583,25.871212
47.840107,14.240966
65.26833,-0.9483777
-4.596308,29.339365
-19.212294,52.276703
-3.5239456,29.639872
-6.414158,-30.00282
27.5556,-57.266968
-21.278383,-40.369495
-45.687283,44.713345
2.6240878,-28.330984
32.396465,-56.750156
-25.272533,-41.205475
27.60101,-58.40152
-68.43568,-0.3932833
46.982487,-10.717567
-43.072803,31.86034
43.934483,-14.850635
-43.952114,18.084774
-41.42585,46.7996
-60.740112,5.7259183
52.262104,51.179115
12.803205,9.041505
22.292057,30.874876
79.616325,14.091016
19.07609,-34.904083
-43.760765,29.864283
-2.7101994,81.21848
43.910637,-7.1624727
-47.87447,35.990887
-72.49804,7.610774
39.48933,26.461952
50.18913,-30.988468
16.003448,-44.346165
65.26833,-0.9483777
3.8311954,-22.308605
50.851048,50.937634
50.921745,38.766983
5.570741,64.88545
-41.444378,27.4664
-44.373695,29.41447
54.936703,15.009939
58.34697,-7.7608657
-34.26712,-28.585175
28.678066,28.23604
-54.741673,-26.962542
-43.876305,43.794476
-0.14994179,30.670189
-29.703043,-4.1173654
-62.577606,29.68473
-48.061012,24.435762
-68.192894,-0.101989895
-19.004494,49.015125
15.4930315,-51.307415
-71.50878,15.712211
-35.82206,-33.39749
9.206202,11.028062
-10.284208,30.322515
52.34125,35.326588
-50.704735,24.637173
37.413166,1.1045402
-51.661777,25.070782
54.833927,-8.070494
36.24515,-0.7246797
48.38051,16.083128
52.262104,51.179115
23.054922,-1.9784416
-24.27042,-52.111607
-8.02784,-29.34887
18.154871,-55.283047
-24.569323,52.06879
-40.6298,-30.228317
52.15238,37.488747
31.178709,-47.435097
-5.1177077,-0.19772585
77.96851,-22.502892
14.55376,-48.86299
49.511246,9.562979
49.658363,-28.27557
50.862053,50.947926
43.6026,-10.333632
64.41509,-0.7700766
-4.0282836,-49.917503
20.22639,-30.898916
-5.0347896,5.0143085
26.119646,21.93711
39.132042,-22.711357
76.00095,-24.25673
14.448108,75.526596
-26.87267,-40.264336
25.151344,-24.394064
-68.56318,-1.3277951
-0.48003972,27.589926
56.611965,-7.977112
-2.046478,56.737312
48.359756,16.100471
50.30086,15.307693
41.529316,-12.522976
55.625576,-12.149614
52.24648,41.090023
4.2446294,-23.07682
-8.65727,-5.1590075
47.3791,2.3690972
25.285526,-24.449308
-6.7102976,6.873169
65.26833,-0.9483777
24.368958,-45.241714
59.300793,-11.48734
11.77386,65.992775
5.5663304,64.892395
28.268457,28.288395
7.743812,49.514748
21.650269,-22.820398
-6.430705,6.712424
-44.47986,26.47578
-39.888035,40.92836
13.93692,75.51966
2.4547257,-30.053556
-3.964168,-6.5491505
-9.477845,6.1734223
54.618607,7.8684564
-69.28629,-1.0302364
-54.80267,24.970638
41.25493,-1.9233576
42.60957,-15.609486
-4.8528175,0.29895714
-74.48629,6.042842
-63.05871,29.591269
-41.505344,-32.726093
36.450996,-23.690577
-3.5358663,4.389028
-4.3846955,-6.05577
79.53406,-18.407772
72.99244,-27.379759
41.947044,-19.99105
-4.537744,0.83765024
-4.81309,-6.03562
-35.430542,-27.436537
-4.9297867,-5.1875005
41.783054,-20.221605
-26.437313,-40.58078
52.23873,5.963871
-63.430344,4.8835783
72.489494,13.673145
-5.294385,-0.6585571
52.618954,6.388527
64.658646,-1.0089746
72.57253,13.618433
-34.228527,-42.986492
64.64995,-0.44052607
79.25907,13.571533
22.855358,52.259384
56.21161,7.7140274
-35.074448,-27.189726
79.25889,13.571597
79.616325,14.091016
79.616325,14.091016
-29.391989,-29.500801
13.93692,75.51966
-3.2029037,3.7858715
2.5264838,-1.4467001
78.190346,-23.134634
78.03664,-23.85892
-21.20279,45.8741
2.4621081,-2.5554574
2.914464,-26.436857
3.113111,-27.852697
-6.6255016,26.296253
45.00961,-11.836733
-24.522903,52.788597
3.0858064,-24.293285
