Năm sản xuất,Tình trạng,Kiểu dáng,Số Km đã đi,Xuất xứ,Hãng xe,Dẫn động,Số chỗ ngồi,Địa điểm,Động cơ,Hộp số,Giá,Cụm số
2008,1,3,0.7933101794572177,0,8,2,7,17,50,1,-0.7070707070707071,0
2021,1,6,-0.3463672919121683,0,69,2,5,17,47,1,-0.22510822510822512,1
2011,1,4,1.479052876954135,0,18,2,5,17,48,1,-0.6277056277056277,0
2023,0,5,-0.5378374098015035,1,64,2,7,45,47,1,-0.18181818181818182,0
2021,1,5,0.0,0,70,1,7,17,50,1,0.31024531024531027,0
2023,0,3,-0.5378374098015035,1,64,2,7,45,28,1,-0.19624819624819625,0
2024,0,5,-0.5378374098015035,0,27,1,7,17,54,1,0.6955266955266955,0
2016,1,6,0.16135122294045107,1,2,3,5,17,50,1,0.2077922077922078,0
2017,1,6,0.33614838112593975,0,18,2,5,17,47,1,-0.3823953823953824,0
2024,0,5,-0.5378374098015035,0,18,2,5,17,47,1,0.2813852813852814,0
2021,1,5,-0.2823646401457894,1,37,1,5,17,35,1,5.043290043290043,0
2022,1,6,0.4033780573511277,0,44,2,5,17,47,1,-0.08658008658008658,0
2022,1,3,0.0,0,34,2,5,17,47,1,-0.10245310245310245,0
2024,0,5,-0.5378374098015035,1,48,2,5,17,47,1,-0.09379509379509379,0
2010,1,3,0.5109455393114284,1,69,1,5,45,63,1,-0.2741702741702742,1
2010,1,6,0.7664183089671426,1,69,2,5,17,54,1,-0.25252525252525254,1
2024,0,5,-0.5378374098015035,1,69,1,7,17,62,1,5.2395382395382395,0
2023,1,5,-0.32270244588090213,1,18,3,7,45,5,1,0.9090909090909091,2
2024,0,5,-0.5378374098015035,1,25,2,7,17,47,1,0.012987012987012988,0
2024,0,5,-0.5378374098015035,1,18,3,7,17,5,1,0.86002886002886,2
2024,0,5,-0.5378374098015035,0,69,2,7,1,47,1,0.01875901875901876,1
2014,1,6,0.20168902867556385,0,69,2,5,17,49,1,-0.2958152958152958,1
2017,1,6,0.5507858454424748,0,69,2,5,17,47,1,-0.4329004329004329,1
2024,0,5,-0.5378374098015035,1,37,1,5,17,53,1,4.004329004329004,0
2015,1,5,0.5335347105230915,1,6,1,7,45,82,1,8.867243867243868,0
2020,1,6,0.4033780573511277,0,34,2,5,17,48,0,-0.31746031746031744,0
2022,0,6,-0.5378374098015035,1,2,3,5,17,50,1,3.0505050505050506,0
2016,1,3,0.5507858454424748,0,69,3,8,17,50,0,-0.5137085137085137,1
2021,1,6,-0.26891870490075176,0,27,2,5,17,46,1,-0.30303030303030304,0
2023,1,5,-0.43968208251272917,0,25,2,7,45,47,1,0.5108225108225108,0
2019,1,6,0.13445935245037588,0,25,2,5,22,47,1,-0.354978354978355,0
2021,1,6,-0.20168902867556385,0,70,3,5,17,50,1,-0.04329004329004329,1
2015,1,6,0.5378374098015035,0,69,2,5,17,54,1,-0.12554112554112554,1
2022,1,4,-0.14790528769541347,0,70,2,5,17,46,1,-0.44733044733044736,1
2017,1,5,0.9412154671526313,0,18,2,5,17,47,1,-0.40404040404040403,0
2015,1,4,0.7664183089671426,1,27,2,5,17,46,1,-0.4704184704184704,0
2021,1,3,-0.26891870490075176,0,27,2,5,17,50,1,-0.16594516594516595,0
2011,1,6,1.210134172053383,0,27,2,5,17,48,0,-0.6204906204906205,0
2022,1,5,-0.2420268344106766,0,27,1,7,17,54,1,0.56998556998557,0
2015,1,5,0.6588508270068418,0,34,2,7,17,7,1,-0.15151515151515152,2
2024,0,5,-0.5378374098015035,1,69,0,7,17,56,1,2.803751803751804,0
2017,1,6,0.4974996040663908,0,34,2,5,17,50,1,-0.18759018759018758,0
2018,1,6,0.4033780573511277,1,52,3,4,17,59,1,4.177489177489178,0
2018,1,6,0.5132571441296393,0,44,2,5,17,50,1,-0.15151515151515152,0
2021,1,5,-0.2823646401457894,1,1,1,5,45,59,1,4.181818181818182,0
2022,1,6,-0.4033780573511277,1,46,0,5,17,59,1,5.288600288600288,0
2023,0,6,-0.5378374098015035,1,37,2,5,17,54,1,2.965367965367965,0
2023,0,5,-0.5378374098015035,1,64,2,7,45,47,1,-0.18181818181818182,0
2022,1,5,-0.1778493854861122,1,69,2,5,45,49,1,0.2077922077922078,1
2018,1,4,0.5132571441296393,1,69,2,5,30,43,0,-0.5916305916305916,1
2020,1,5,0.13445935245037588,1,64,2,7,45,47,1,-0.2741702741702742,0
2020,1,4,-0.17479715818548866,1,69,2,5,17,47,1,-0.1443001443001443,1
2020,1,5,0.16135122294045107,0,44,2,5,17,50,1,0.10822510822510822,0
2019,1,5,-0.05378374098015035,0,69,3,7,45,9,0,0.19480519480519481,1
