t-SNE1,t-SNE2
-12.687612,-0.17345197
40.161114,4.5165324
27.70827,-42.783566
7.3381357,-71.3494
37.74303,-36.162376
60.869175,17.167828
-46.50413,30.49938
27.131126,-43.45885
33.33411,18.429922
6.604701,-49.763695
-27.033266,33.30396
33.369648,11.778532
51.857,-19.710077
30.282093,-31.589159
65.20965,14.435453
39.61987,2.2248442
-1.6664727,-43.453045
34.27208,17.927341
11.505263,-45.06907
29.067642,-59.699123
4.879641,-5.5926514
2.8084824,53.44307
21.683313,35.617374
-2.5188386,56.33476
25.225101,41.826424
-58.362644,1.7232558
34.392532,14.71637
-13.330581,-0.3296739
-2.6196687,53.15817
-15.22745,-0.6068813
-45.51551,-29.337671
10.055123,59.268135
11.505263,-45.069088
-41.038963,-22.495316
34.384327,14.655593
-25.453505,6.916626
4.074343,26.935198
-43.278126,-28.390472
47.804897,-17.000612
-45.41478,-30.35493
16.594793,-58.585617
-47.75742,-28.308102
-13.3428,-22.530241
34.19003,13.433761
30.80823,-15.267708
22.146944,46.96677
-56.357273,-20.133108
-47.93197,-25.262674
5.082901,-8.416407
41.385887,21.62448
-8.220067,-24.70274
10.284317,-43.28799
9.791545,-11.6353245
60.44375,16.167955
17.71936,25.753246
40.007103,2.7801802
-35.211784,28.22816
-34.664036,27.58066
37.06746,-8.427094
65.86365,13.615377
-41.19887,48.058506
37.495495,-36.489803
16.676737,-55.958378
-57.41984,-19.082638
6.260516,-70.56578
32.460514,-14.767024
62.329422,17.785255
40.053585,-18.713936
31.682827,29.378742
-47.283787,35.855244
19.601587,-56.92194
-14.140837,-7.719086
-40.871525,41.89416
10.396633,6.058381
33.948814,-7.2004256
31.986862,28.756294
30.795593,7.2561703
10.444243,-43.496143
11.675688,25.72233
12.82932,4.856967
-27.154858,-47.625706
48.404507,-16.562069
-55.621124,-19.09002
6.676224,-8.694782
-35.69676,36.187756
20.939266,45.881393
-0.526249,-36.704563
67.05365,-3.4304302
46.49765,17.049913
32.426666,-14.793927
-0.43955535,-37.16487
37.901077,-12.550283
25.192204,-23.314817
38.738636,-37.586517
44.184883,20.456438
-35.06306,34.81236
34.04599,13.756326
8.124408,-67.931305
-34.636986,27.507788
24.703335,39.94645
-22.172665,41.59129
-26.71587,33.122284
-42.111076,-10.179006
42.220875,-4.419429
24.861368,40.856186
-59.88877,-9.170228
-57.85026,1.1957706
13.999543,37.7767
-47.331776,30.928827
-59.567013,-8.9883375
23.444462,50.020695
-2.2784874,-43.81663
12.757458,26.133663
65.27716,-2.0930371
40.47633,3.7392015
-15.654138,-31.791483
42.38993,-18.481071
-47.902214,30.82862
-34.29078,26.970228
25.061193,-29.428457
9.235773,-46.44555
